0355, 1.83448e+06, 240894
03551, 1.83475e+06, 240924
035510, 1.83532e+06, 242201
03551001, 1.83535e+06, 242182
035510A, 1.83532e+06, 242199
035511, 1.83542e+06, 242328
035512, 1.83549e+06, 242447
03551201, 1.83541e+06, 242430
03551202, 1.8352e+06, 242412
035513, 1.83583e+06, 242667
03551301, 1.83584e+06, 242443
03551301A, 1.83584e+06, 242437
03551302, 1.83596e+06, 242172
03551303, 1.83609e+06, 242181
03551304, 1.83594e+06, 242339
03551305, 1.83596e+06, 242125
03551306, 1.83561e+06, 242608
03551306A, 1.8356e+06, 242612
03551307, 1.83534e+06, 242871
03551308, 1.83515e+06, 243062
03551308A, 1.83515e+06, 243066
03551309, 1.83516e+06, 243229
03551310, 1.83531e+06, 243155
03551311, 1.83526e+06, 243316
03551312, 1.83557e+06, 243312
03551313, 1.83517e+06, 242884
03551314, 1.83483e+06, 243347
03551314A, 1.83484e+06, 243354
03551315, 1.83463e+06, 243591
03551316, 1.83437e+06, 243950
03551317, 1.83424e+06, 244117
03551318, 1.83404e+06, 244390
03551319, 1.83391e+06, 244552
03551320, 1.83377e+06, 244742
03551321, 1.83363e+06, 244916
03551322, 1.83347e+06, 245115
03551323, 1.83334e+06, 245286
03551324, 1.83325e+06, 245412
03551325, 1.8328e+06, 245994
03551326, 1.83313e+06, 245265
03551327, 1.83296e+06, 245236
03551328, 1.83296e+06, 245232
03551328A, 1.83296e+06, 245230
03551329, 1.83294e+06, 245195
03551330, 1.83301e+06, 245010
03551331, 1.83286e+06, 244727
03551332, 1.83286e+06, 244733
03551333, 1.83272e+06, 245191
03551334, 1.83272e+06, 245150
03551335, 1.83257e+06, 245167
03551336, 1.83245e+06, 245146
03551337, 1.83244e+06, 245104
03551337A, 1.83244e+06, 245098
03551338, 1.83241e+06, 244835
03551339, 1.83217e+06, 245076
03551340, 1.83203e+06, 244979
03551341, 1.83197e+06, 244800
03551342, 1.83246e+06, 245240
03551343, 1.83221e+06, 245455
03551344, 1.83221e+06, 245460
03551345, 1.83257e+06, 245261
03551346, 1.83274e+06, 245292
03551347, 1.83274e+06, 245484
03551348, 1.83346e+06, 245278
03551349, 1.83366e+06, 245238
03551350, 1.83389e+06, 245146
03551350A, 1.83389e+06, 245147
03551351, 1.83373e+06, 245185
03551352, 1.83394e+06, 245010
03551353, 1.83382e+06, 244857
03551354, 1.83397e+06, 244859
03551355, 1.83397e+06, 244866
03551356, 1.83411e+06, 245095
03551357, 1.83418e+06, 245008
03551358, 1.83431e+06, 244885
03551359, 1.83441e+06, 244881
03551360, 1.83432e+06, 245227
03551361, 1.83454e+06, 244922
03551362, 1.83446e+06, 244702
03551363, 1.83441e+06, 244551
03551364, 1.83479e+06, 244779
03551365, 1.83423e+06, 244391
03551366, 1.83423e+06, 244399
03551367, 1.83496e+06, 243501
03551367A, 1.83496e+06, 243507
03551368, 1.83507e+06, 243659
03551369, 1.83538e+06, 244087
03551370, 1.83554e+06, 244343
03551371, 1.83569e+06, 244249
