Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"03551332", 12, 1,    6928.55,    0.0,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"03551334", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551335", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551346", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551336", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551345", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551337", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551339", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551342", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551337A", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551338", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551340", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551341", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551343", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551344", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551347", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551349", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551350", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551356", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551350A", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551351", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551352", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551353", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551354", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551355", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551357", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551358", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551359", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551360", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551361", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551362", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551364", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551363", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551366", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551367A", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551368", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551369", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551370", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551371", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551390", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551391", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551372", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551389", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
